"Codename","Pinned 80","Pinned 81","Pinned 83","Pinned 84","Pinned 85","Stable","Beta","Dev","Canary","Recovery","Brand names"
"asuka","12739.111.0\n80.0.3987.162","12871.102.0\n81.0.4044.141","13020.87.0\n83.0.4103.119","13099.110.0\n84.0.4147.136","13310.93.0\n85.0.4183.133","13310.93.0\n85.0.4183.133","13421.47.0\n86.0.4240.68","13482.0.0\n87.0.4265.0","13503.0.0\n87.0.4278.0","<a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11316.165.0_asuka_recovery_stable-channel_mp.bin.zip"">72</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11647.104.0_asuka_recovery_stable-channel_mp.bin.zip"">73</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11895.118.0_asuka_recovery_stable-channel_mp.bin.zip"">74</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12105.100.0_asuka_recovery_stable-channel_mp.bin.zip"">75</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12239.67.0_asuka_recovery_stable-channel_mp.bin.zip"">76</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12371.75.0_asuka_recovery_stable-channel_mp.bin.zip"">77</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12499.66.0_asuka_recovery_stable-channel_mp.bin.zip"">78</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12607.82.0_asuka_recovery_stable-channel_mp.bin.zip"">79</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12739.94.0_asuka_recovery_stable-channel_mp.bin.zip"">80</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12871.102.0_asuka_recovery_stable-channel_mp.bin.zip"">81</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13020.87.0_asuka_recovery_stable-channel_mp.bin.zip"">83</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13310.59.0_asuka_recovery_stable-channel_mp.bin.zip"">85</a>","Dell Chromebook 13 (3380)"
"atlas","12739.111.0\n80.0.3987.162","12871.102.0\n81.0.4044.141","None\nNone","no update","13310.93.0\n85.0.4183.133","13310.93.0\n85.0.4183.133","13421.47.0\n86.0.4240.68","13482.0.0\n87.0.4265.0","13503.0.0\n87.0.4278.0","<a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12105.105.0_atlas_recovery_stable-channel_mp.bin.zip"">75</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12499.66.0_atlas_recovery_stable-channel_mp.bin.zip"">78</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12607.82.0_atlas_recovery_stable-channel_mp.bin.zip"">79</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12739.94.0_atlas_recovery_stable-channel_mp.bin.zip"">80</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12871.102.0_atlas_recovery_stable-channel_mp.bin.zip"">81</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13020.87.0_atlas_recovery_stable-channel_mp.bin.zip"">83</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13099.110.0_atlas_recovery_stable-channel_mp.bin.zip"">84</a>","Google Pixelbook Go"
"banjo","12739.111.0\n80.0.3987.162","12871.102.0\n81.0.4044.141","13020.87.0\n83.0.4103.119","13099.110.0\n84.0.4147.136","13310.93.0\n85.0.4183.133","13310.93.0\n85.0.4183.133","13421.47.0\n86.0.4240.68","13482.0.0\n87.0.4265.0","13503.0.0\n87.0.4278.0","<a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11316.165.0_banjo_recovery_stable-channel_mp-v2.bin.zip"">72</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11647.154.0_banjo_recovery_stable-channel_mp-v2.bin.zip"">73</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11895.118.0_banjo_recovery_stable-channel_mp-v2.bin.zip"">74</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12105.100.0_banjo_recovery_stable-channel_mp-v2.bin.zip"">75</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12239.92.0_banjo_recovery_stable-channel_mp-v2.bin.zip"">76</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12371.75.3_banjo_recovery_stable-channel_mp-v2.bin.zip"">77</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12499.66.0_banjo_recovery_stable-channel_mp-v2.bin.zip"">78</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12607.82.0_banjo_recovery_stable-channel_mp-v2.bin.zip"">79</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12739.94.0_banjo_recovery_stable-channel_mp-v2.bin.zip"">80</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12871.102.0_banjo_recovery_stable-channel_mp-v2.bin.zip"">81</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13020.87.0_banjo_recovery_stable-channel_mp-v2.bin.zip"">83</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13310.59.0_banjo_recovery_stable-channel_mp-v2.bin.zip"">85</a>","Acer Chromebook 15 (CB3-531)"
"banon","12739.111.0\n80.0.3987.162","12871.102.0\n81.0.4044.141","13020.87.0\n83.0.4103.119","13099.110.0\n84.0.4147.136","13310.93.0\n85.0.4183.133","13310.93.0\n85.0.4183.133","13421.39.0\n86.0.4240.49","13482.0.0\n87.0.4265.0","13502.0.0\n87.0.4277.0","<a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11316.165.0_banon_recovery_stable-channel_mp.bin.zip"">72</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11647.154.0_banon_recovery_stable-channel_mp.bin.zip"">73</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11895.118.0_banon_recovery_stable-channel_mp.bin.zip"">74</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12105.100.0_banon_recovery_stable-channel_mp.bin.zip"">75</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12239.92.0_banon_recovery_stable-channel_mp.bin.zip"">76</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12371.75.0_banon_recovery_stable-channel_mp.bin.zip"">77</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12499.66.0_banon_recovery_stable-channel_mp.bin.zip"">78</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12607.81.0_banon_recovery_stable-channel_mp.bin.zip"">79</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12739.94.0_banon_recovery_stable-channel_mp.bin.zip"">80</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12871.102.0_banon_recovery_stable-channel_mp.bin.zip"">81</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13020.87.0_banon_recovery_stable-channel_mp.bin.zip"">83</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13099.110.0_banon_recovery_stable-channel_mp.bin.zip"">84</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13310.59.0_banon_recovery_stable-channel_mp.bin.zip"">85</a>","Acer Chromebook 15 (CB3-532)"
"bob","12739.111.1\n80.0.3987.162","12871.102.0\n81.0.4044.141","13020.87.0\n83.0.4103.119","13099.110.0\n84.0.4147.136","13310.93.0\n85.0.4183.133","13310.93.0\n85.0.4183.133","13421.47.0\n86.0.4240.68","13482.0.0\n87.0.4265.0","13502.0.0\n87.0.4277.0","<a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11316.165.0_bob_recovery_stable-channel_mp.bin.zip"">72</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11647.104.0_bob_recovery_stable-channel_mp.bin.zip"">73</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11895.118.0_bob_recovery_stable-channel_mp.bin.zip"">74</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12105.100.0_bob_recovery_stable-channel_mp.bin.zip"">75</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12239.92.0_bob_recovery_stable-channel_mp.bin.zip"">76</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12371.75.0_bob_recovery_stable-channel_mp.bin.zip"">77</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12499.66.0_bob_recovery_stable-channel_mp.bin.zip"">78</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12607.58.0_bob_recovery_stable-channel_mp.bin.zip"">79</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12739.94.0_bob_recovery_stable-channel_mp.bin.zip"">80</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12871.102.0_bob_recovery_stable-channel_mp.bin.zip"">81</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13020.87.0_bob_recovery_stable-channel_mp.bin.zip"">83</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13099.110.0_bob_recovery_stable-channel_mp.bin.zip"">84</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13310.59.0_bob_recovery_stable-channel_mp.bin.zip"">85</a>","ASUS Chromebook Flip C101PA"
"buddy","12739.111.0\n80.0.3987.162","12871.102.0\n81.0.4044.141","13020.82.0\n83.0.4103.112","13099.110.0\n84.0.4147.136","13310.91.0\n85.0.4183.131","13310.91.0\n85.0.4183.131","13421.39.0\n86.0.4240.49","13482.0.0\n87.0.4265.0","13489.0.0\n87.0.4265.0","<a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11316.165.0_buddy_recovery_stable-channel_mp-v2.bin.zip"">72</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11647.154.0_buddy_recovery_stable-channel_mp-v2.bin.zip"">73</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11895.118.0_buddy_recovery_stable-channel_mp-v2.bin.zip"">74</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12105.100.0_buddy_recovery_stable-channel_mp-v2.bin.zip"">75</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12239.92.0_buddy_recovery_stable-channel_mp-v2.bin.zip"">76</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12371.75.0_buddy_recovery_stable-channel_mp-v2.bin.zip"">77</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12499.66.0_buddy_recovery_stable-channel_mp-v2.bin.zip"">78</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12607.81.0_buddy_recovery_stable-channel_mp-v2.bin.zip"">79</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12739.94.0_buddy_recovery_stable-channel_mp-v2.bin.zip"">80</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12871.102.0_buddy_recovery_stable-channel_mp-v2.bin.zip"">81</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13020.82.0_buddy_recovery_stable-channel_mp-v2.bin.zip"">83</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13099.102.0_buddy_recovery_stable-channel_mp-v2.bin.zip"">84</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13310.59.0_buddy_recovery_stable-channel_mp-v2.bin.zip"">85</a>","Acer Chromebase 24"
"candy","12739.111.0\n80.0.3987.162","12871.102.0\n81.0.4044.141","13020.87.0\n83.0.4103.119","13099.110.0\n84.0.4147.136","13310.93.0\n85.0.4183.133","13310.93.0\n85.0.4183.133","13421.47.0\n86.0.4240.68","13482.0.0\n87.0.4265.0","13503.0.0\n87.0.4278.0","<a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11316.165.0_candy_recovery_stable-channel_mp-v2.bin.zip"">72</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11647.154.0_candy_recovery_stable-channel_mp-v2.bin.zip"">73</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11895.118.0_candy_recovery_stable-channel_mp-v2.bin.zip"">74</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12105.100.0_candy_recovery_stable-channel_mp-v2.bin.zip"">75</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12239.92.0_candy_recovery_stable-channel_mp-v2.bin.zip"">76</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12371.75.0_candy_recovery_stable-channel_mp-v2.bin.zip"">77</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12499.66.0_candy_recovery_stable-channel_mp-v2.bin.zip"">78</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12607.82.0_candy_recovery_stable-channel_mp-v2.bin.zip"">79</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12739.94.0_candy_recovery_stable-channel_mp-v2.bin.zip"">80</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12871.102.0_candy_recovery_stable-channel_mp-v2.bin.zip"">81</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13020.87.0_candy_recovery_stable-channel_mp-v2.bin.zip"">83</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13310.59.0_candy_recovery_stable-channel_mp-v2.bin.zip"">85</a>","Dell Chromebook 11 (3120)"
"caroline","12739.111.0\n80.0.3987.162","12871.102.0\n81.0.4044.141","13020.87.0\n83.0.4103.119","13099.110.0\n84.0.4147.136","13310.93.0\n85.0.4183.133","13310.93.0\n85.0.4183.133","13421.47.0\n86.0.4240.68","13482.0.0\n87.0.4265.0","13502.0.0\n87.0.4277.0","<a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11316.165.0_caroline_recovery_stable-channel_mp.bin.zip"">72</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11647.154.0_caroline_recovery_stable-channel_mp.bin.zip"">73</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11895.118.0_caroline_recovery_stable-channel_mp.bin.zip"">74</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12105.100.0_caroline_recovery_stable-channel_mp.bin.zip"">75</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12239.92.0_caroline_recovery_stable-channel_mp.bin.zip"">76</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12371.75.0_caroline_recovery_stable-channel_mp.bin.zip"">77</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12499.66.0_caroline_recovery_stable-channel_mp.bin.zip"">78</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12607.82.0_caroline_recovery_stable-channel_mp.bin.zip"">79</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12739.94.0_caroline_recovery_stable-channel_mp.bin.zip"">80</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12871.102.0_caroline_recovery_stable-channel_mp.bin.zip"">81</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13020.87.0_caroline_recovery_stable-channel_mp.bin.zip"">83</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13310.59.0_caroline_recovery_stable-channel_mp.bin.zip"">85</a>","Samsung Chromebook Pro"
"cave","12739.111.0\n80.0.3987.162","12871.102.0\n81.0.4044.141","13020.87.0\n83.0.4103.119","13099.110.0\n84.0.4147.136","13310.93.0\n85.0.4183.133","13310.93.0\n85.0.4183.133","13421.47.0\n86.0.4240.68","13482.0.0\n87.0.4265.0","13503.0.0\n87.0.4278.0","<a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11316.165.0_cave_recovery_stable-channel_mp.bin.zip"">72</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11647.154.0_cave_recovery_stable-channel_mp.bin.zip"">73</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11895.118.0_cave_recovery_stable-channel_mp.bin.zip"">74</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12105.100.0_cave_recovery_stable-channel_mp.bin.zip"">75</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12239.92.0_cave_recovery_stable-channel_mp.bin.zip"">76</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12371.75.0_cave_recovery_stable-channel_mp.bin.zip"">77</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12499.66.0_cave_recovery_stable-channel_mp.bin.zip"">78</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12607.82.0_cave_recovery_stable-channel_mp.bin.zip"">79</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12739.94.0_cave_recovery_stable-channel_mp.bin.zip"">80</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12871.102.0_cave_recovery_stable-channel_mp.bin.zip"">81</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13020.87.0_cave_recovery_stable-channel_mp.bin.zip"">83</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13099.110.0_cave_recovery_stable-channel_mp.bin.zip"">84</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13310.59.0_cave_recovery_stable-channel_mp.bin.zip"">85</a>","ASUS Chromebook Flip C302"
"celes","12739.111.0\n80.0.3987.162","12871.102.0\n81.0.4044.141","13020.87.0\n83.0.4103.119","13099.110.0\n84.0.4147.136","13310.91.0\n85.0.4183.131","13310.91.0\n85.0.4183.131","13421.39.0\n86.0.4240.49","13482.0.0\n87.0.4265.0","13503.0.0\n87.0.4278.0","<a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11316.165.0_celes_recovery_stable-channel_mp-v2.bin.zip"">72</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11647.154.0_celes_recovery_stable-channel_mp-v2.bin.zip"">73</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11895.118.0_celes_recovery_stable-channel_mp-v2.bin.zip"">74</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12105.100.0_celes_recovery_stable-channel_mp-v2.bin.zip"">75</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12239.92.0_celes_recovery_stable-channel_mp-v2.bin.zip"">76</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12371.75.0_celes_recovery_stable-channel_mp-v2.bin.zip"">77</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12499.66.0_celes_recovery_stable-channel_mp-v2.bin.zip"">78</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12607.81.0_celes_recovery_stable-channel_mp-v2.bin.zip"">79</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12739.94.0_celes_recovery_stable-channel_mp-v2.bin.zip"">80</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12871.102.0_celes_recovery_stable-channel_mp-v2.bin.zip"">81</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13020.87.0_celes_recovery_stable-channel_mp-v2.bin.zip"">83</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13099.110.0_celes_recovery_stable-channel_mp-v2.bin.zip"">84</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13310.59.0_celes_recovery_stable-channel_mp-v2.bin.zip"">85</a>","Samsung Chromebook 3"
